"product_group,Kinerja 2025,pred"
"Bendapos,8449.9536,4189.502692027935"
"Dana,148127.862746,0.0"
"Meterai,201169.750212,97823.11480009115"
"Modern Channel,17477.513901801805,8815.458236134593"
"Payment,98836.73031186452,47807.73663551709"
"Pensiun & Asuransi,123170.127237472,62454.123739485396"
"Remitansi,46528.628975,22453.266914835116"
"Syariah,4540.244942,2127.7792583533505"
"eBatarapos & CICO,30760.4989181,15171.201946318242"
