Day of Date,Reg,Segmen Produk,Revenue,Target
1/4/2023,Pospay,Remittance & Sharia,21857958,0
1/4/2023,Reg 1,Bendapos & Meterai,187106525,0
1/4/2023,Reg 1,Fronting,34964748,0
1/4/2023,Reg 1,Fund Distribution,0,0
1/4/2023,Reg 1,Payment,121536928,0
1/4/2023,Reg 1,Remittance & Sharia,37542835,0
1/4/2023,Reg 2,Bendapos & Meterai,330371711,0
1/4/2023,Reg 2,Fronting,13555639,0
1/4/2023,Reg 2,Fund Distribution,0,0
1/4/2023,Reg 2,Payment,63713753,0
1/4/2023,Reg 2,Remittance & Sharia,63381366,0
1/4/2023,Reg 3,Bendapos & Meterai,95606468,0
1/4/2023,Reg 3,Fronting,33986732,0
1/4/2023,Reg 3,Fund Distribution,0,0
1/4/2023,Reg 3,Payment,40559420,0
1/4/2023,Reg 3,Remittance & Sharia,130131053,0
1/4/2023,Reg 4,Bendapos & Meterai,147591950,0
1/4/2023,Reg 4,Fronting,24095125,0
1/4/2023,Reg 4,Payment,89222552,0
1/4/2023,Reg 4,Remittance & Sharia,29140798,0
1/4/2023,Reg 5,Bendapos & Meterai,159783211,0
1/4/2023,Reg 5,Fronting,41480454,0
1/4/2023,Reg 5,Fund Distribution,0,0
1/4/2023,Reg 5,Payment,81726478,0
1/4/2023,Reg 5,Remittance & Sharia,65098348,0
1/4/2023,Reg 6,Bendapos & Meterai,161127286,0
1/4/2023,Reg 6,Fronting,34549523,0
1/4/2023,Reg 6,Fund Distribution,0,0
1/4/2023,Reg 6,Payment,126183986,0
1/4/2023,Reg 6,Remittance & Sharia,41467361,0
1/5/2023,Pospay,Bendapos & Meterai,0,0
1/5/2023,Pospay,Fronting,75785,0
1/5/2023,Pospay,Payment,92649462,0
1/5/2023,Pospay,Remittance & Sharia,22396250,0
1/5/2023,Reg 1,Bendapos & Meterai,193796878,0
1/5/2023,Reg 1,Fronting,32507275,0
1/5/2023,Reg 1,Fund Distribution,0,0
1/5/2023,Reg 1,Payment,167055903,0
1/5/2023,Reg 1,Remittance & Sharia,33790640,0
1/5/2023,Reg 2,Bendapos & Meterai,300521749,0
1/5/2023,Reg 2,Fronting,13000922,0
1/5/2023,Reg 2,Fund Distribution,0,0
1/5/2023,Reg 2,Payment,98497057,0
1/5/2023,Reg 2,Remittance & Sharia,55996010,0
1/5/2023,Reg 3,Bendapos & Meterai,123263815,0
1/5/2023,Reg 3,Fronting,27475635,0
1/5/2023,Reg 3,Fund Distribution,0,0
1/5/2023,Reg 3,Payment,56477116,0
1/5/2023,Reg 3,Remittance & Sharia,114069284,0
1/5/2023,Reg 4,Bendapos & Meterai,127985646,0
1/5/2023,Reg 4,Fronting,24196679,0
1/5/2023,Reg 4,Payment,119128545,0
1/5/2023,Reg 4,Remittance & Sharia,28743036,0
1/5/2023,Reg 5,Bendapos & Meterai,183724927,0
1/5/2023,Reg 5,Fronting,33120041,0
1/5/2023,Reg 5,Fund Distribution,0,0
1/5/2023,Reg 5,Payment,118888382,0
1/5/2023,Reg 5,Remittance & Sharia,77242050,0
1/5/2023,Reg 6,Bendapos & Meterai,142616126,0
1/5/2023,Reg 6,Fronting,29992587,0
1/5/2023,Reg 6,Fund Distribution,0,0
