Day of Date,Reg,Segmen Produk,Revenue,Target
9/22/2023,Pospay,Payment,66842013,0
9/22/2023,Pospay,Remittance & Sharia,-45127314,0
9/22/2023,Reg 1,Bendapos & Meterai,159957807,0
9/22/2023,Reg 1,Fronting,1508407,0
9/22/2023,Reg 1,Fund Distribution,0,0
9/22/2023,Reg 1,Payment,108184662,0
9/22/2023,Reg 1,Remittance & Sharia,22250702,0
9/22/2023,Reg 2,Bendapos & Meterai,245863342,0
9/22/2023,Reg 2,Fronting,548153,0
9/22/2023,Reg 2,Fund Distribution,0,0
9/22/2023,Reg 2,Payment,31578821,0
9/22/2023,Reg 2,Remittance & Sharia,29386726,0
9/22/2023,Reg 3,Bendapos & Meterai,101062565,0
9/22/2023,Reg 3,Fronting,447302,0
9/22/2023,Reg 3,Fund Distribution,0,0
9/22/2023,Reg 3,Payment,24021455,0
9/22/2023,Reg 3,Remittance & Sharia,41374987,0
9/22/2023,Reg 4,Bendapos & Meterai,109905929,0
9/22/2023,Reg 4,Fronting,1101872,0
9/22/2023,Reg 4,Payment,65223939,0
9/22/2023,Reg 4,Remittance & Sharia,16798185,0
9/22/2023,Reg 5,Bendapos & Meterai,172513810,0
9/22/2023,Reg 5,Fronting,1463589,0
9/22/2023,Reg 5,Fund Distribution,0,0
9/22/2023,Reg 5,Payment,61168747,0
9/22/2023,Reg 5,Remittance & Sharia,34223329,0
9/22/2023,Reg 6,Bendapos & Meterai,124071272,0
9/22/2023,Reg 6,Fronting,1571739,0
9/22/2023,Reg 6,Fund Distribution,0,0
9/22/2023,Reg 6,Payment,86236971,0
9/22/2023,Reg 6,Remittance & Sharia,25920158,0
9/23/2023,Pospay,Fronting,7100,0
9/23/2023,Pospay,Payment,59881613,0
9/23/2023,Pospay,Remittance & Sharia,-66867314,0
9/23/2023,Reg 1,Bendapos & Meterai,111204729,0
9/23/2023,Reg 1,Fronting,692086,0
9/23/2023,Reg 1,Fund Distribution,0,0
9/23/2023,Reg 1,Payment,43668906,0
9/23/2023,Reg 1,Remittance & Sharia,20200855,0
9/23/2023,Reg 2,Bendapos & Meterai,169921824,0
9/23/2023,Reg 2,Fronting,318866,0
9/23/2023,Reg 2,Fund Distribution,0,0
9/23/2023,Reg 2,Payment,11746531,0
9/23/2023,Reg 2,Remittance & Sharia,21890969,0
9/23/2023,Reg 3,Bendapos & Meterai,59190640,0
9/23/2023,Reg 3,Fronting,492446,0
9/23/2023,Reg 3,Fund Distribution,0,0
9/23/2023,Reg 3,Payment,10760621,0
9/23/2023,Reg 3,Remittance & Sharia,29810098,0
9/23/2023,Reg 4,Bendapos & Meterai,70241225,0
9/23/2023,Reg 4,Fronting,1063004,0
9/23/2023,Reg 4,Payment,29256000,0
9/23/2023,Reg 4,Remittance & Sharia,12037540,0
9/23/2023,Reg 5,Bendapos & Meterai,103687923,0
9/23/2023,Reg 5,Fronting,1717874,0
9/23/2023,Reg 5,Fund Distribution,0,0
9/23/2023,Reg 5,Payment,26517098,0
9/23/2023,Reg 5,Remittance & Sharia,28197576,0
9/23/2023,Reg 6,Bendapos & Meterai,65691357,0
9/23/2023,Reg 6,Fronting,1112515,0
9/23/2023,Reg 6,Fund Distribution,0,0
9/23/2023,Reg 6,Payment,42459583,0
9/23/2023,Reg 6,Remittance & Sharia,24214816,0
9/24/2023,Pospay,Fronting,0,0
9/24/2023,Pospay,Payment,37640745,0
9/24/2023,Pospay,Remittance & Sharia,-66867314,0
9/24/2023,Reg 1,Fronting,18018,0
9/24/2023,Reg 1,Fund Distribution,0,0
9/24/2023,Reg 1,Payment,4636591,0
9/24/2023,Reg 1,Remittance & Sharia,3062659,0
9/24/2023,Reg 2,Fronting,43137,0
9/24/2023,Reg 2,Fund Distribution,0,0
9/24/2023,Reg 2,Payment,1220447,0
9/24/2023,Reg 2,Remittance & Sharia,5075715,0
9/24/2023,Reg 3,Fronting,13514,0
9/24/2023,Reg 3,Fund Distribution,0,0
9/24/2023,Reg 3,Payment,751667,0
9/24/2023,Reg 3,Remittance & Sharia,6395325,0
9/24/2023,Reg 4,Fronting,148654,0
9/24/2023,Reg 4,Fund Distribution,0,0
9/24/2023,Reg 4,Payment,1674489,0
9/24/2023,Reg 4,Remittance & Sharia,2220632,0
9/24/2023,Reg 5,Bendapos & Meterai,0,0
9/24/2023,Reg 5,Fronting,62957,0
9/24/2023,Reg 5,Fund Distribution,0,0
9/24/2023,Reg 5,Payment,1296476,0
9/24/2023,Reg 5,Remittance & Sharia,3224964,0
9/24/2023,Reg 6,Fronting,49551,0
9/24/2023,Reg 6,Fund Distribution,0,0
9/24/2023,Reg 6,Payment,3225924,0
9/24/2023,Reg 6,Remittance & Sharia,5488211,0
9/25/2023,Pospay,Fronting,48500,0
9/25/2023,Pospay,Payment,91241650,0
9/25/2023,Pospay,Remittance & Sharia,-14937314,0
9/25/2023,Reg 1,Bendapos & Meterai,135522012,0
9/25/2023,Reg 1,Fronting,9388089,0
9/25/2023,Reg 1,Fund Distribution,0,0
9/25/2023,Reg 1,Payment,136927446,0
9/25/2023,Reg 1,Remittance & Sharia,28722960,0
9/25/2023,Reg 2,Bendapos & Meterai,160114647,0
9/25/2023,Reg 2,Fronting,4886221,0
9/25/2023,Reg 2,Fund Distribution,0,0
9/25/2023,Reg 2,Payment,34926787,0
9/25/2023,Reg 2,Remittance & Sharia,39508169,0
9/25/2023,Reg 3,Bendapos & Meterai,61563388,0
9/25/2023,Reg 3,Fronting,5159990,0
9/25/2023,Reg 3,Fund Distribution,0,0
9/25/2023,Reg 3,Payment,30439759,0
9/25/2023,Reg 3,Remittance & Sharia,64122468,0
9/25/2023,Reg 4,Bendapos & Meterai,79319193,0
9/25/2023,Reg 4,Fronting,1636278,0
9/25/2023,Reg 4,Payment,85736861,0
9/25/2023,Reg 4,Remittance & Sharia,22974980,0
9/25/2023,Reg 5,Bendapos & Meterai,176995734,0
9/25/2023,Reg 5,Fronting,6082956,0
9/25/2023,Reg 5,Fund Distribution,0,0
9/25/2023,Reg 5,Payment,75427963,0
9/25/2023,Reg 5,Remittance & Sharia,49535677,0
9/25/2023,Reg 6,Bendapos & Meterai,132485702,0
9/25/2023,Reg 6,Fronting,1606368,0
9/25/2023,Reg 6,Fund Distribution,0,0
9/25/2023,Reg 6,Payment,114768121,0
9/25/2023,Reg 6,Remittance & Sharia,37141253,0
9/26/2023,Pospay,Fronting,23500,0
9/26/2023,Pospay,Payment,76180725,0
9/26/2023,Pospay,Remittance & Sharia,-40237314,0
9/26/2023,Reg 1,Bendapos & Meterai,175450663,0
9/26/2023,Reg 1,Fronting,2247008,0
9/26/2023,Reg 1,Fund Distribution,0,0
9/26/2023,Reg 1,Payment,110977454,0
9/26/2023,Reg 1,Remittance & Sharia,22412732,0
9/26/2023,Reg 2,Bendapos & Meterai,276305750,0
9/26/2023,Reg 2,Fronting,666822,0
9/26/2023,Reg 2,Fund Distribution,0,0
9/26/2023,Reg 2,Payment,31804976,0
9/26/2023,Reg 2,Remittance & Sharia,37850950,0
9/26/2023,Reg 3,Bendapos & Meterai,106198312,0
9/26/2023,Reg 3,Fronting,1075862,0
9/26/2023,Reg 3,Fund Distribution,0,0
9/26/2023,Reg 3,Payment,30732626,0
9/26/2023,Reg 3,Remittance & Sharia,60679967,0
9/26/2023,Reg 4,Bendapos & Meterai,136495084,0
9/26/2023,Reg 4,Fronting,1230700,0
9/26/2023,Reg 4,Payment,80735363,0
9/26/2023,Reg 4,Remittance & Sharia,19720782,0
9/26/2023,Reg 5,Bendapos & Meterai,165839806,0
9/26/2023,Reg 5,Fronting,3054254,0
9/26/2023,Reg 5,Fund Distribution,0,0
9/26/2023,Reg 5,Payment,71504627,0
9/26/2023,Reg 5,Remittance & Sharia,42995732,0
9/26/2023,Reg 6,Bendapos & Meterai,135705941,0
9/26/2023,Reg 6,Fronting,1666647,0
9/26/2023,Reg 6,Fund Distribution,0,0
9/26/2023,Reg 6,Payment,97844484,0
9/26/2023,Reg 6,Remittance & Sharia,31057940,0
9/27/2023,Pospay,Fronting,51700,0
9/27/2023,Pospay,Fund Distribution,6266,0
9/27/2023,Pospay,Payment,75210424,0
9/27/2023,Pospay,Remittance & Sharia,-66867314,0
9/27/2023,Reg 1,Bendapos & Meterai,208661045,0
9/27/2023,Reg 1,Fronting,2718965,0
9/27/2023,Reg 1,Fund Distribution,32507352,0
9/27/2023,Reg 1,Payment,119300722,0
9/27/2023,Reg 1,Remittance & Sharia,20651936,0
9/27/2023,Reg 2,Bendapos & Meterai,323043244,0
9/27/2023,Reg 2,Fronting,728763,0
9/27/2023,Reg 2,Fund Distribution,2396299,0
9/27/2023,Reg 2,Payment,34021849,0
9/27/2023,Reg 2,Remittance & Sharia,36796853,0
9/27/2023,Reg 3,Bendapos & Meterai,93146725,0
9/27/2023,Reg 3,Fronting,1133473,0
9/27/2023,Reg 3,Fund Distribution,3339525,0
9/27/2023,Reg 3,Payment,29175025,0
9/27/2023,Reg 3,Remittance & Sharia,69867050,0
9/27/2023,Reg 4,Bendapos & Meterai,108335240,0
9/27/2023,Reg 4,Fronting,1312130,0
9/27/2023,Reg 4,Fund Distribution,3338494,0
9/27/2023,Reg 4,Payment,83244379,0
9/27/2023,Reg 4,Remittance & Sharia,21429004,0
9/27/2023,Reg 5,Bendapos & Meterai,188817083,0
9/27/2023,Reg 5,Fronting,3639452,0
9/27/2023,Reg 5,Fund Distribution,5124867,0
9/27/2023,Reg 5,Payment,72060200,0
9/27/2023,Reg 5,Remittance & Sharia,42336962,0
9/27/2023,Reg 6,Bendapos & Meterai,137820777,0
9/27/2023,Reg 6,Fronting,1415736,0
9/27/2023,Reg 6,Fund Distribution,7439191,0
9/27/2023,Reg 6,Payment,103597852,0
9/27/2023,Reg 6,Remittance & Sharia,29780921,0
9/28/2023,Pospay,Fronting,14200,0
9/28/2023,Pospay,Payment,1535728396,0
9/28/2023,Pospay,Remittance & Sharia,-66867314,0
9/28/2023,Reg 1,Fronting,228154,0
9/28/2023,Reg 1,Fund Distribution,0,0
9/28/2023,Reg 1,Payment,9996854,0
9/28/2023,Reg 1,Remittance & Sharia,3756152,0
9/28/2023,Reg 2,Fronting,85051,0
9/28/2023,Reg 2,Fund Distribution,0,0
9/28/2023,Reg 2,Payment,1834487,0
9/28/2023,Reg 2,Remittance & Sharia,11250775,0
9/28/2023,Reg 3,Fronting,27027,0
9/28/2023,Reg 3,Fund Distribution,0,0
9/28/2023,Reg 3,Payment,1757612,0
9/28/2023,Reg 3,Remittance & Sharia,24586434,0
9/28/2023,Reg 4,Fronting,184691,0
9/28/2023,Reg 4,Fund Distribution,0,0
9/28/2023,Reg 4,Payment,3891683,0
9/28/2023,Reg 4,Remittance & Sharia,3752840,0
9/28/2023,Reg 5,Fronting,124779,0
9/28/2023,Reg 5,Fund Distribution,0,0
9/28/2023,Reg 5,Payment,2760725,0
9/28/2023,Reg 5,Remittance & Sharia,7896439,0
9/28/2023,Reg 6,Fronting,210667,0
9/28/2023,Reg 6,Fund Distribution,0,0
9/28/2023,Reg 6,Payment,7651811,0
9/28/2023,Reg 6,Remittance & Sharia,7149596,0
9/29/2023,Pospay,Fronting,73700,0
9/29/2023,Pospay,Payment,1575827449,0
9/29/2023,Pospay,Remittance & Sharia,15112686,0
9/29/2023,Reg 1,Bendapos & Meterai,172689830,0
9/29/2023,Reg 1,Fronting,4027230,0
9/29/2023,Reg 1,Fund Distribution,0,0
9/29/2023,Reg 1,Payment,145965820,0
9/29/2023,Reg 1,Remittance & Sharia,41105549,0
9/29/2023,Reg 2,Bendapos & Meterai,300508068,0
9/29/2023,Reg 2,Fronting,1196693,0
9/29/2023,Reg 2,Fund Distribution,0,0
9/29/2023,Reg 2,Payment,38190548,0
9/29/2023,Reg 2,Remittance & Sharia,65497119,0
9/29/2023,Reg 3,Bendapos & Meterai,104848579,0
9/29/2023,Reg 3,Fronting,1748051,0
9/29/2023,Reg 3,Fund Distribution,0,0
9/29/2023,Reg 3,Payment,35201145,0
9/29/2023,Reg 3,Remittance & Sharia,155500375,0
9/29/2023,Reg 4,Bendapos & Meterai,109499898,0
9/29/2023,Reg 4,Fronting,1248839,0
9/29/2023,Reg 4,Payment,109682128,0
9/29/2023,Reg 4,Remittance & Sharia,34622091,0
9/29/2023,Reg 5,Bendapos & Meterai,211955410,0
9/29/2023,Reg 5,Fronting,2687086,0
9/29/2023,Reg 5,Fund Distribution,0,0
9/29/2023,Reg 5,Payment,87501202,0
9/29/2023,Reg 5,Remittance & Sharia,79645723,0
9/29/2023,Reg 6,Bendapos & Meterai,131829107,0
9/29/2023,Reg 6,Fronting,1845119,0
9/29/2023,Reg 6,Fund Distribution,0,0
9/29/2023,Reg 6,Payment,128314822,0
9/29/2023,Reg 6,Remittance & Sharia,39644098,0
9/30/2023,Pospay,Fronting,121293,0
9/30/2023,Pospay,Fund Distribution,456600635,0
9/30/2023,Pospay,Payment,1567846503,0
9/30/2023,Pospay,Remittance & Sharia,-41127194,0
9/30/2023,Reg 1,Bendapos & Meterai,307718783,0
9/30/2023,Reg 1,Fronting,3404230480,0
9/30/2023,Reg 1,Fund Distribution,5932388500,0
9/30/2023,Reg 1,Payment,61411653,0
9/30/2023,Reg 1,Remittance & Sharia,19202662,0
9/30/2023,Reg 2,Bendapos & Meterai,478296300,0
9/30/2023,Reg 2,Fronting,880308694,0
9/30/2023,Reg 2,Fund Distribution,2617352347,0
9/30/2023,Reg 2,Payment,16958128,0
9/30/2023,Reg 2,Remittance & Sharia,37572020,0
9/30/2023,Reg 3,Bendapos & Meterai,153980083,0
9/30/2023,Reg 3,Fronting,1512858399,0
9/30/2023,Reg 3,Fund Distribution,3647590720,0
9/30/2023,Reg 3,Payment,19888973,0
9/30/2023,Reg 3,Remittance & Sharia,74899533,0
9/30/2023,Reg 4,Bendapos & Meterai,193892059,0
9/30/2023,Reg 4,Fronting,1560663187,0
9/30/2023,Reg 4,Fund Distribution,3646468724,0
9/30/2023,Reg 4,Payment,42934248,0
9/30/2023,Reg 4,Remittance & Sharia,17799596,0
9/30/2023,Reg 5,Bendapos & Meterai,322556036,0
9/30/2023,Reg 5,Fronting,2385322946,0
9/30/2023,Reg 5,Fund Distribution,5597627558,0
9/30/2023,Reg 5,Payment,45366078,0
9/30/2023,Reg 5,Remittance & Sharia,231873938,0
9/30/2023,Reg 6,Bendapos & Meterai,280512717,0
9/30/2023,Reg 6,Fronting,2561573391,0
9/30/2023,Reg 6,Fund Distribution,8125445856,0
9/30/2023,Reg 6,Payment,69706677,0
9/30/2023,Reg 6,Remittance & Sharia,354689625,0
10/1/2023,Pospay,Fronting,68118,0
10/1/2023,Pospay,Fund Distribution,2,0
10/1/2023,Pospay,Payment,59878339,0
10/1/2023,Pospay,Remittance & Sharia,0,0
10/1/2023,Reg 1,Fronting,110977951,0
10/1/2023,Reg 1,Fund Distribution,0,0
10/1/2023,Reg 1,Payment,4548092,0
10/1/2023,Reg 1,Remittance & Sharia,6111070,0
10/1/2023,Reg 2,Fronting,36511243,0
10/1/2023,Reg 2,Fund Distribution,0,0
10/1/2023,Reg 2,Payment,2458618,0
10/1/2023,Reg 2,Remittance & Sharia,16559924,0
10/1/2023,Reg 3,Fronting,149776612,0
10/1/2023,Reg 3,Fund Distribution,0,0
10/1/2023,Reg 3,Payment,1625639,0
10/1/2023,Reg 3,Remittance & Sharia,43332901,0
10/1/2023,Reg 4,Bendapos & Meterai,250683,0
10/1/2023,Reg 4,Fronting,83646025,0
10/1/2023,Reg 4,Fund Distribution,0,0
10/1/2023,Reg 4,Payment,3940151,0
10/1/2023,Reg 4,Remittance & Sharia,5859685,0
10/1/2023,Reg 5,Fronting,164019624,0
10/1/2023,Reg 5,Fund Distribution,0,0
10/1/2023,Reg 5,Payment,2295625,0
10/1/2023,Reg 5,Remittance & Sharia,6338223,0
10/1/2023,Reg 6,Fronting,97470706,0
10/1/2023,Reg 6,Fund Distribution,0,0
10/1/2023,Reg 6,Payment,4159567,0
10/1/2023,Reg 6,Remittance & Sharia,11486248,0
10/2/2023,Pospay,Fronting,132715,0
10/2/2023,Pospay,Payment,124331099,0
10/2/2023,Pospay,Remittance & Sharia,108369670,0
10/2/2023,Reg 1,Bendapos & Meterai,143698739,0
10/2/2023,Reg 1,Fronting,66261961,0
10/2/2023,Reg 1,Fund Distribution,0,0
10/2/2023,Reg 1,Payment,176877651,0
10/2/2023,Reg 1,Remittance & Sharia,72621942,0
10/2/2023,Reg 2,Bendapos & Meterai,160848267,0
10/2/2023,Reg 2,Fronting,22256747,0
10/2/2023,Reg 2,Fund Distribution,0,0
10/2/2023,Reg 2,Payment,61440698,0
10/2/2023,Reg 2,Remittance & Sharia,158050816,0
10/2/2023,Reg 3,Bendapos & Meterai,72398089,0
10/2/2023,Reg 3,Fronting,83169081,0
10/2/2023,Reg 3,Fund Distribution,0,0
10/2/2023,Reg 3,Payment,48305254,0
10/2/2023,Reg 3,Remittance & Sharia,362726224,0
10/2/2023,Reg 4,Bendapos & Meterai,93970460,0
10/2/2023,Reg 4,Fronting,41606755,0
10/2/2023,Reg 4,Payment,115080476,0
10/2/2023,Reg 4,Remittance & Sharia,77034987,0
10/2/2023,Reg 5,Bendapos & Meterai,151045584,0
10/2/2023,Reg 5,Fronting,90921215,0
10/2/2023,Reg 5,Fund Distribution,0,0
10/2/2023,Reg 5,Payment,111999167,0
10/2/2023,Reg 5,Remittance & Sharia,165258701,0
10/2/2023,Reg 6,Bendapos & Meterai,145128452,0
10/2/2023,Reg 6,Fronting,61501711,0
10/2/2023,Reg 6,Fund Distribution,0,0
10/2/2023,Reg 6,Payment,172155441,0
10/2/2023,Reg 6,Remittance & Sharia,80213076,0
10/3/2023,Pospay,Fronting,28049,0
10/3/2023,Pospay,Payment,129507865,0
10/3/2023,Pospay,Remittance & Sharia,86714693,0
10/3/2023,Reg 1,Bendapos & Meterai,192231440,0
10/3/2023,Reg 1,Fronting,32914850,0
10/3/2023,Reg 1,Fund Distribution,0,0
10/3/2023,Reg 1,Payment,178459175,0
10/3/2023,Reg 1,Remittance & Sharia,57645437,0
10/3/2023,Reg 2,Bendapos & Meterai,304204887,0
10/3/2023,Reg 2,Fronting,11281574,0
10/3/2023,Reg 2,Fund Distribution,0,0
10/3/2023,Reg 2,Payment,78641124,0
10/3/2023,Reg 2,Remittance & Sharia,113116862,0
10/3/2023,Reg 3,Bendapos & Meterai,100119889,0
10/3/2023,Reg 3,Fronting,44865807,0
10/3/2023,Reg 3,Fund Distribution,0,0
10/3/2023,Reg 3,Payment,58846375,0
10/3/2023,Reg 3,Remittance & Sharia,275785813,0
10/3/2023,Reg 4,Bendapos & Meterai,139453576,0
10/3/2023,Reg 4,Fronting,26822508,0
10/3/2023,Reg 4,Payment,118333348,0
10/3/2023,Reg 4,Remittance & Sharia,52040794,0
10/3/2023,Reg 5,Bendapos & Meterai,204902222,0
10/3/2023,Reg 5,Fronting,51618334,0
10/3/2023,Reg 5,Fund Distribution,0,0
10/3/2023,Reg 5,Payment,120877767,0
10/3/2023,Reg 5,Remittance & Sharia,125624885,0
10/3/2023,Reg 6,Bendapos & Meterai,153164453,0
10/3/2023,Reg 6,Fronting,27850835,0
10/3/2023,Reg 6,Fund Distribution,0,0
10/3/2023,Reg 6,Payment,178697960,0
10/3/2023,Reg 6,Remittance & Sharia,66718358,0
10/4/2023,Pospay,Fronting,20520,0
10/4/2023,Pospay,Payment,119637538,0
10/4/2023,Pospay,Remittance & Sharia,84293266,0
10/4/2023,Reg 1,Bendapos & Meterai,187899311,0
10/4/2023,Reg 1,Fronting,21667003,0
10/4/2023,Reg 1,Fund Distribution,0,0
10/4/2023,Reg 1,Payment,175873992,0
10/4/2023,Reg 1,Remittance & Sharia,45585147,0
10/4/2023,Reg 2,Bendapos & Meterai,435382066,0
10/4/2023,Reg 2,Fronting,7859913,0
10/4/2023,Reg 2,Fund Distribution,0,0
10/4/2023,Reg 2,Payment,78095511,0
10/4/2023,Reg 2,Remittance & Sharia,100117399,0
10/4/2023,Reg 3,Bendapos & Meterai,96396258,0
10/4/2023,Reg 3,Fronting,25029031,0
10/4/2023,Reg 3,Fund Distribution,0,0
10/4/2023,Reg 3,Payment,56329780,0
10/4/2023,Reg 3,Remittance & Sharia,212888269,0
10/4/2023,Reg 4,Bendapos & Meterai,148384559,0
10/4/2023,Reg 4,Fronting,19376957,0
10/4/2023,Reg 4,Payment,115341874,0
10/4/2023,Reg 4,Remittance & Sharia,45298294,0
10/4/2023,Reg 5,Bendapos & Meterai,193652096,0
10/4/2023,Reg 5,Fronting,28145981,0
10/4/2023,Reg 5,Fund Distribution,0,0
10/4/2023,Reg 5,Payment,119587017,0
10/4/2023,Reg 5,Remittance & Sharia,105123474,0
10/4/2023,Reg 6,Bendapos & Meterai,159944251,0
10/4/2023,Reg 6,Fronting,18064062,0
10/4/2023,Reg 6,Fund Distribution,0,0
10/4/2023,Reg 6,Payment,172971581,0
10/4/2023,Reg 6,Remittance & Sharia,55954985,0
10/5/2023,Pospay,Fronting,6557,0
10/5/2023,Pospay,Payment,127211488,0
10/5/2023,Pospay,Remittance & Sharia,69342456,0
10/5/2023,Reg 1,Bendapos & Meterai,200659858,0
10/5/2023,Reg 1,Fronting,16089037,0
10/5/2023,Reg 1,Fund Distribution,0,0
10/5/2023,Reg 1,Payment,181124997,0
10/5/2023,Reg 1,Remittance & Sharia,44107581,0
10/5/2023,Reg 2,Bendapos & Meterai,330333811,0
10/5/2023,Reg 2,Fronting,6992582,0
10/5/2023,Reg 2,Fund Distribution,0,0
10/5/2023,Reg 2,Payment,95343725,0
10/5/2023,Reg 2,Remittance & Sharia,82688919,0
10/5/2023,Reg 3,Bendapos & Meterai,93725341,0
10/5/2023,Reg 3,Fronting,18427107,0
10/5/2023,Reg 3,Fund Distribution,0,0
10/5/2023,Reg 3,Payment,61038835,0
10/5/2023,Reg 3,Remittance & Sharia,163305190,0
10/5/2023,Reg 4,Bendapos & Meterai,138275998,0
10/5/2023,Reg 4,Fronting,15190617,0
10/5/2023,Reg 4,Payment,127024761,0
10/5/2023,Reg 4,Remittance & Sharia,38725672,0
10/5/2023,Reg 5,Bendapos & Meterai,233952778,0
10/5/2023,Reg 5,Fronting,21347775,0
10/5/2023,Reg 5,Fund Distribution,0,0
10/5/2023,Reg 5,Payment,127570061,0
10/5/2023,Reg 5,Remittance & Sharia,93762060,0
10/5/2023,Reg 6,Bendapos & Meterai,149607029,0
10/5/2023,Reg 6,Fronting,15682147,0
10/5/2023,Reg 6,Fund Distribution,0,0
10/5/2023,Reg 6,Payment,182501785,0
10/5/2023,Reg 6,Remittance & Sharia,53400633,0
10/6/2023,Pospay,Fronting,8621,0
10/6/2023,Pospay,Payment,117156472,0
10/6/2023,Pospay,Remittance & Sharia,75908748,0
10/6/2023,Reg 1,Bendapos & Meterai,175217252,0
10/6/2023,Reg 1,Fronting,11937737,0
10/6/2023,Reg 1,Fund Distribution,0,0
10/6/2023,Reg 1,Payment,169205470,0
10/6/2023,Reg 1,Remittance & Sharia,45251303,0
10/6/2023,Reg 2,Bendapos & Meterai,291329781,0
10/6/2023,Reg 2,Fronting,5035139,0
10/6/2023,Reg 2,Fund Distribution,0,0
10/6/2023,Reg 2,Payment,89305936,0
10/6/2023,Reg 2,Remittance & Sharia,95930630,0
10/6/2023,Reg 3,Bendapos & Meterai,102593847,0
10/6/2023,Reg 3,Fronting,27550045,0
10/6/2023,Reg 3,Fund Distribution,0,0
10/6/2023,Reg 3,Payment,55194773,0
10/6/2023,Reg 3,Remittance & Sharia,165638787,0
10/6/2023,Reg 4,Bendapos & Meterai,119171343,0
10/6/2023,Reg 4,Fronting,11072231,0
10/6/2023,Reg 4,Payment,113879966,0
10/6/2023,Reg 4,Remittance & Sharia,39418476,0
10/6/2023,Reg 5,Bendapos & Meterai,188609800,0
10/6/2023,Reg 5,Fronting,12760080,0
10/6/2023,Reg 5,Fund Distribution,0,0
10/6/2023,Reg 5,Payment,112668207,0
10/6/2023,Reg 5,Remittance & Sharia,95159107,0
10/6/2023,Reg 6,Bendapos & Meterai,138154957,0
10/6/2023,Reg 6,Fronting,10892055,0
10/6/2023,Reg 6,Fund Distribution,0,0
10/6/2023,Reg 6,Payment,165661825,0
10/6/2023,Reg 6,Remittance & Sharia,53088958,0
10/7/2023,Pospay,Fronting,21735,0
10/7/2023,Pospay,Payment,96341263,0
10/7/2023,Pospay,Remittance & Sharia,0,0
10/7/2023,Reg 1,Bendapos & Meterai,97539615,0
10/7/2023,Reg 1,Fronting,4969673,0
10/7/2023,Reg 1,Fund Distribution,0,0
10/7/2023,Reg 1,Payment,85311616,0
10/7/2023,Reg 1,Remittance & Sharia,34409783,0
10/7/2023,Reg 2,Bendapos & Meterai,193642053,0
10/7/2023,Reg 2,Fronting,2198516,0
10/7/2023,Reg 2,Fund Distribution,0,0
10/7/2023,Reg 2,Payment,42703539,0
10/7/2023,Reg 2,Remittance & Sharia,58116825,0
10/7/2023,Reg 3,Bendapos & Meterai,64112745,0
10/7/2023,Reg 3,Fronting,4168372,0
10/7/2023,Reg 3,Fund Distribution,0,0
10/7/2023,Reg 3,Payment,30384742,0
10/7/2023,Reg 3,Remittance & Sharia,99082764,0
10/7/2023,Reg 4,Bendapos & Meterai,68125566,0
10/7/2023,Reg 4,Fronting,5598720,0
10/7/2023,Reg 4,Payment,63616315,0
10/7/2023,Reg 4,Remittance & Sharia,30074038,0
10/7/2023,Reg 5,Bendapos & Meterai,101641325,0
10/7/2023,Reg 5,Fronting,8002697,0
10/7/2023,Reg 5,Fund Distribution,0,0
10/7/2023,Reg 5,Payment,62066490,0
10/7/2023,Reg 5,Remittance & Sharia,63178938,0
10/7/2023,Reg 6,Bendapos & Meterai,88168644,0
10/7/2023,Reg 6,Fronting,5937099,0
10/7/2023,Reg 6,Fund Distribution,0,0
10/7/2023,Reg 6,Payment,94217276,0
10/7/2023,Reg 6,Remittance & Sharia,47350944,0
10/8/2023,Pospay,Fronting,8621,0
10/8/2023,Pospay,Payment,61706184,0
10/8/2023,Pospay,Remittance & Sharia,0,0
10/8/2023,Reg 1,Fronting,142151,0
10/8/2023,Reg 1,Fund Distribution,0,0
10/8/2023,Reg 1,Payment,6202035,0
10/8/2023,Reg 1,Remittance & Sharia,5835700,0
10/8/2023,Reg 2,Fronting,116664,0
10/8/2023,Reg 2,Fund Distribution,0,0
10/8/2023,Reg 2,Payment,4695988,0
10/8/2023,Reg 2,Remittance & Sharia,12880026,0
10/8/2023,Reg 3,Fronting,61969,0
10/8/2023,Reg 3,Fund Distribution,0,0
10/8/2023,Reg 3,Payment,1897088,0
10/8/2023,Reg 3,Remittance & Sharia,21784240,0
10/8/2023,Reg 4,Fronting,51030,0
10/8/2023,Reg 4,Fund Distribution,0,0
10/8/2023,Reg 4,Payment,5892928,0
10/8/2023,Reg 4,Remittance & Sharia,3074256,0
10/8/2023,Reg 5,Fronting,84173,0
10/8/2023,Reg 5,Fund Distribution,0,0
10/8/2023,Reg 5,Payment,2953406,0
10/8/2023,Reg 5,Remittance & Sharia,5472944,0
10/8/2023,Reg 6,Fronting,240548,0
10/8/2023,Reg 6,Fund Distribution,0,0
10/8/2023,Reg 6,Payment,6711269,0
10/8/2023,Reg 6,Remittance & Sharia,8553771,0
10/9/2023,Pospay,Fronting,9835,0
10/9/2023,Pospay,Payment,132257093,0
10/9/2023,Pospay,Remittance & Sharia,163261113,0
10/9/2023,Reg 1,Bendapos & Meterai,167239616,0
10/9/2023,Reg 1,Fronting,10040094,0
10/9/2023,Reg 1,Fund Distribution,0,0
10/9/2023,Reg 1,Payment,240282529,0
10/9/2023,Reg 1,Remittance & Sharia,57663891,0
10/9/2023,Reg 2,Bendapos & Meterai,197846107,0
10/9/2023,Reg 2,Fronting,3369068,0
